Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BOOT,ResetSW,141.4,-51.05,270.0,bottom
C1,1u,C_0402_1005Metric,140.2,-25.4,0.0,bottom
C2,1u,C_0402_1005Metric,142.4,-31.0,180.0,bottom
C3,4.7u,C_0402_1005Metric,142.4,-32.0,180.0,bottom
C4,1u,C_0402_1005Metric,138.2,-30.6,0.0,bottom
C5,100n,C_0402_1005Metric,134.4,-43.2,90.0,bottom
C6,100n,C_0402_1005Metric,131.0,-30.8,0.0,bottom
C7,100n,C_0402_1005Metric,131.0,-31.8,0.0,bottom
C8,100n,C_0402_1005Metric,139.0,-43.2,90.0,bottom
C9,100n,C_0402_1005Metric,137.75,-43.2,90.0,bottom
D1,D_Small,D3_SMD,29.45,-22.8,90.0,bottom
D2,D_Small,D3_SMD,48.45,-22.8,90.0,bottom
D3,D_Small,D3_SMD,67.45,-22.8,90.0,bottom
D4,D_Small,D3_SMD,86.45,-22.8,90.0,bottom
D5,D_Small,D3_SMD,105.45,-22.8,90.0,bottom
D6,D_Small,D3_SMD,124.45,-22.8,90.0,bottom
D7,D_Small,D3_SMD,162.45,-22.8,90.0,bottom
D8,D_Small,D3_SMD,181.45,-22.8,90.0,bottom
D9,D_Small,D3_SMD,200.45,-22.8,90.0,bottom
D10,D_Small,D3_SMD,219.45,-22.8,90.0,bottom
D11,D_Small,D3_SMD,238.45,-22.8,90.0,bottom
D12,D_Small,D3_SMD,257.45,-22.8,90.0,bottom
D13,D_Small,D3_SMD,29.45,-41.8,90.0,bottom
D14,D_Small,D3_SMD,48.45,-41.8,90.0,bottom
D15,D_Small,D3_SMD,67.45,-41.8,90.0,bottom
D16,D_Small,D3_SMD,86.45,-41.8,90.0,bottom
D17,D_Small,D3_SMD,105.45,-41.8,90.0,bottom
D18,D_Small,D3_SMD,124.45,-41.8,90.0,bottom
D19,D_Small,D3_SMD,162.45,-41.8,90.0,bottom
D20,D_Small,D3_SMD,181.45,-41.8,90.0,bottom
D21,D_Small,D3_SMD,200.45,-41.8,90.0,bottom
D22,D_Small,D3_SMD,219.45,-41.8,90.0,bottom
D23,D_Small,D3_SMD,238.45,-41.8,90.0,bottom
D24,D_Small,D3_SMD,257.45,-41.8,90.0,bottom
D25,D_Small,D3_SMD,29.45,-60.8,90.0,bottom
D26,D_Small,D3_SMD,48.45,-60.8,90.0,bottom
D27,D_Small,D3_SMD,67.45,-60.8,90.0,bottom
D28,D_Small,D3_SMD,86.45,-60.8,90.0,bottom
D29,D_Small,D3_SMD,105.45,-60.8,90.0,bottom
D30,D_Small,D3_SMD,124.45,-60.8,90.0,bottom
D31,D_Small,D3_SMD,162.45,-60.8,90.0,bottom
D32,D_Small,D3_SMD,181.45,-60.8,90.0,bottom
D33,D_Small,D3_SMD,200.45,-60.8,90.0,bottom
D34,D_Small,D3_SMD,219.45,-60.8,90.0,bottom
D35,D_Small,D3_SMD,238.45,-60.8,90.0,bottom
D36,D_Small,D3_SMD,257.45,-60.8,90.0,bottom
D37,D_Small,D3_SMD,29.45,-79.8,90.0,bottom
D38,D_Small,D3_SMD,48.45,-79.8,90.0,bottom
D39,D_Small,D3_SMD,67.45,-79.8,90.0,bottom
D40,D_Small,D3_SMD,86.45,-79.8,90.0,bottom
D41,D_Small,D3_SMD,105.45,-79.8,90.0,bottom
D42,D_Small,D3_SMD,124.45,-79.8,90.0,bottom
D43,D_Small,D3_SMD,162.45,-79.8,90.0,bottom
D44,D_Small,D3_SMD,181.45,-79.8,90.0,bottom
D45,D_Small,D3_SMD,200.45,-79.8,90.0,bottom
D46,D_Small,D3_SMD,219.45,-79.8,90.0,bottom
D47,D_Small,D3_SMD,238.45,-79.8,90.0,bottom
D48,D_Small,D3_SMD,257.45,-79.8,90.0,bottom
D49,D_Small,D3_SMD,10.45,-41.8,90.0,bottom
D50,D_Small,D3_SMD,10.45,-60.8,90.0,bottom
D51,D_Small,D3_SMD,10.45,-79.8,90.0,bottom
D52,D_Small,D3_SMD,86.45,-98.8,90.0,bottom
D53,D_Small,D3_SMD,105.45,-98.8,90.0,bottom
D54,D_Small,D3_SMD,124.45,-98.8,90.0,bottom
D55,D_Small,D3_SMD,162.45,-98.8,90.0,bottom
D56,D_Small,D3_SMD,181.45,-98.8,90.0,bottom
D57,D_Small,D3_SMD,200.45,-98.8,90.0,bottom
D58,D_Small,D3_SMD,276.45,-79.8,90.0,bottom
D59,D_Small,D3_SMD,276.45,-60.8,90.0,bottom
D60,D_Small,D3_SMD,276.45,-41.8,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,142.4,-23.2,270.0,bottom
IO1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,135.85,-12.73,180.0,bottom
R1,5.1k,R_0402_1005Metric,133.6,-22.4,270.0,bottom
R2,5.1k,R_0402_1005Metric,138.2,-22.325,270.0,bottom
R3,5.1k,R_0402_1005Metric,141.4,-43.2,270.0,bottom
R4,5.1k,R_0402_1005Metric,136.2,-43.2,90.0,bottom
RS1,RST,ResetSW,135.8,-51.05,270.0,bottom
SW1,SW_PUSH,MX-Hotswap-1U,21.85,-21.85,0.0,top
SW2,SW_PUSH,MX-Hotswap-1U,40.85,-21.85,0.0,top
SW3,SW_PUSH,MX-Hotswap-1U,59.85,-21.85,0.0,top
SW4,SW_PUSH,MX-Hotswap-1U,78.85,-21.85,0.0,top
SW5,SW_PUSH,MX-Hotswap-1U,97.85,-21.85,0.0,top
SW6,SW_PUSH,MX-Hotswap-1U,116.85,-21.85,0.0,top
SW7,SW_PUSH,MX-Hotswap-1U,154.85,-21.85,0.0,top
SW8,SW_PUSH,MX-Hotswap-1U,173.85,-21.85,0.0,top
SW9,SW_PUSH,MX-Hotswap-1U,192.85,-21.85,0.0,top
SW10,SW_PUSH,MX-Hotswap-1U,211.85,-21.85,0.0,top
SW11,SW_PUSH,MX-Hotswap-1U,230.85,-21.85,0.0,top
SW12,SW_PUSH,MX-Hotswap-1U,249.85,-21.85,0.0,top
SW13,SW_PUSH,MX-Hotswap-1U,21.85,-40.85,0.0,top
SW14,SW_PUSH,MX-Hotswap-1U,40.85,-40.85,0.0,top
SW15,SW_PUSH,MX-Hotswap-1U,59.85,-40.85,0.0,top
SW16,SW_PUSH,MX-Hotswap-1U,78.85,-40.85,0.0,top
SW17,SW_PUSH,MX-Hotswap-1U,97.85,-40.85,0.0,top
SW18,SW_PUSH,MX-Hotswap-1U,116.85,-40.85,0.0,top
SW19,SW_PUSH,MX-Hotswap-1U,154.85,-40.85,0.0,top
SW20,SW_PUSH,MX-Hotswap-1U,173.85,-40.85,0.0,top
SW21,SW_PUSH,MX-Hotswap-1U,192.85,-40.85,0.0,top
SW22,SW_PUSH,MX-Hotswap-1U,211.85,-40.85,0.0,top
SW23,SW_PUSH,MX-Hotswap-1U,230.85,-40.85,0.0,top
SW24,SW_PUSH,MX-Hotswap-1U,249.85,-40.85,0.0,top
SW25,SW_PUSH,MX-Hotswap-1U,21.85,-59.85,0.0,top
SW26,SW_PUSH,MX-Hotswap-1U,40.85,-59.85,0.0,top
SW27,SW_PUSH,MX-Hotswap-1U,59.86,-59.85,0.0,top
SW28,SW_PUSH,MX-Hotswap-1U,78.85,-59.85,0.0,top
SW29,SW_PUSH,MX-Hotswap-1U,97.85,-59.85,0.0,top
SW30,SW_PUSH,MX-Hotswap-1U,116.85,-59.85,0.0,top
SW31,SW_PUSH,MX-Hotswap-1U,154.85,-59.85,0.0,top
SW32,SW_PUSH,MX-Hotswap-1U,173.85,-59.85,0.0,top
SW33,SW_PUSH,MX-Hotswap-1U,192.85,-59.85,0.0,top
SW34,SW_PUSH,MX-Hotswap-1U,211.85,-59.85,0.0,top
SW35,SW_PUSH,MX-Hotswap-1U,230.85,-59.85,0.0,top
SW36,SW_PUSH,MX-Hotswap-1U,249.85,-59.85,0.0,top
SW37,SW_PUSH,MX-Hotswap-1U,21.85,-78.85,0.0,top
SW38,SW_PUSH,MX-Hotswap-1U,40.85,-78.85,0.0,top
SW39,SW_PUSH,MX-Hotswap-1U,59.85,-78.85,0.0,top
SW40,SW_PUSH,MX-Hotswap-1U,78.85,-78.85,0.0,top
SW41,SW_PUSH,MX-Hotswap-1U,97.85,-78.85,0.0,top
SW42,SW_PUSH,MX-Hotswap-1U,116.85,-78.85,0.0,top
SW43,SW_PUSH,MX-Hotswap-1U,154.85,-78.85,0.0,top
SW44,SW_PUSH,MX-Hotswap-1U,173.85,-78.85,0.0,top
SW45,SW_PUSH,MX-Hotswap-1U,192.85,-78.85,0.0,top
SW46,SW_PUSH,MX-Hotswap-1U,211.85,-78.85,0.0,top
SW47,SW_PUSH,MX-Hotswap-1U,230.85,-78.85,0.0,top
SW48,SW_PUSH,MX-Hotswap-1U,249.85,-78.85,0.0,top
SW49,SW_PUSH,MX-Hotswap-1U,2.85,-40.85,0.0,top
SW50,SW_PUSH,MX-Hotswap-1U,2.85,-59.85,0.0,top
SW51,SW_PUSH,MX-Hotswap-1U,2.85,-78.85,0.0,top
SW52,SW_PUSH,MX-Hotswap-1U,78.85,-97.85,0.0,top
SW53,SW_PUSH,MX-Hotswap-1U,97.85,-97.85,0.0,top
SW54,SW_PUSH,MX-Hotswap-1U,116.85,-97.85,0.0,top
SW55,SW_PUSH,MX-Hotswap-1U,154.85,-97.85,0.0,top
SW56,SW_PUSH,MX-Hotswap-1U,173.85,-97.85,0.0,top
SW57,SW_PUSH,MX-Hotswap-1U,192.85,-97.85,0.0,top
SW58,SW_PUSH,MX-Hotswap-1U,268.85,-78.85,0.0,top
SW59,SW_PUSH,MX-Hotswap-1U,268.85,-59.85,0.0,top
SW60,SW_PUSH,MX-Hotswap-1U,268.85,-40.85,0.0,top
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,135.4,-36.4,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,135.85,-24.7,90.0,bottom
U3,XC6206PxxxMR,SOT-23-3,142.4,-28.2,90.0,bottom
